city,city_ascii,state_name,lat,lng
New York,New York,New York,40.6943,-73.9249
Los Angeles,Los Angeles,California,34.1141,-118.4068
Chicago,Chicago,Illinois,41.8375,-87.6866
Miami,Miami,Florida,25.784,-80.2101
Houston,Houston,Texas,29.786,-95.3885
Dallas,Dallas,Texas,32.7935,-96.7667
Philadelphia,Philadelphia,Pennsylvania,40.0077,-75.1339
Atlanta,Atlanta,Georgia,33.7628,-84.422
Washington,Washington,District of Columbia,38.9047,-77.0163
Boston,Boston,Massachusetts,42.3188,-71.0852
Phoenix,Phoenix,Arizona,33.5722,-112.0892
Detroit,Detroit,Michigan,42.3834,-83.1024
Seattle,Seattle,Washington,47.6211,-122.3244
San Francisco,San Francisco,California,37.7558,-122.4449
San Diego,San Diego,California,32.8313,-117.1222
Minneapolis,Minneapolis,Minnesota,44.9635,-93.2678
Tampa,Tampa,Florida,27.9945,-82.4447
Brooklyn,Brooklyn,New York,40.6501,-73.9496
Denver,Denver,Colorado,39.762,-104.8758
Queens,Queens,New York,40.7498,-73.7976
Riverside,Riverside,California,33.9381,-117.3949
Las Vegas,Las Vegas,Nevada,36.2333,-115.2654
Baltimore,Baltimore,Maryland,39.3051,-76.6144
St. Louis,St. Louis,Missouri,38.6359,-90.2451
Portland,Portland,Oregon,45.5371,-122.65
San Antonio,San Antonio,Texas,29.4632,-98.5238
Sacramento,Sacramento,California,38.5677,-121.4685
Austin,Austin,Texas,30.3005,-97.7522
Orlando,Orlando,Florida,28.4773,-81.337
San Juan,San Juan,Puerto Rico,18.3985,-66.061
San Jose,San Jose,California,37.3012,-121.848
Pittsburgh,Pittsburgh,Pennsylvania,40.4397,-79.9763
Indianapolis,Indianapolis,Indiana,39.7771,-86.1458
Manhattan,Manhattan,New York,40.7834,-73.9662
Cincinnati,Cincinnati,Ohio,39.1413,-84.506
Kansas City,Kansas City,Missouri,39.1238,-94.5541
Cleveland,Cleveland,Ohio,41.4764,-81.6805
Columbus,Columbus,Ohio,39.9862,-82.9855
Bronx,Bronx,New York,40.8501,-73.8662
Virginia Beach,Virginia Beach,Virginia,36.7335,-76.0435
Charlotte,Charlotte,North Carolina,35.2083,-80.8303
Milwaukee,Milwaukee,Wisconsin,43.0642,-87.9675
Providence,Providence,Rhode Island,41.823,-71.4187
Jacksonville,Jacksonville,Florida,30.3322,-81.6749
Nashville,Nashville,Tennessee,36.1715,-86.7842
Salt Lake City,Salt Lake City,Utah,40.7776,-111.9311
Raleigh,Raleigh,North Carolina,35.8324,-78.6429
Richmond,Richmond,Virginia,37.5295,-77.4756
Memphis,Memphis,Tennessee,35.1087,-89.9663
Oklahoma City,Oklahoma City,Oklahoma,35.4676,-97.5136
Hartford,Hartford,Connecticut,41.7661,-72.6834
